No.,Acid1,Acid2,Acid3,Sugar,Chlorides,Dioxide1,Dioxide2,Density,pH,Sulphates,Alcohol
1,6.4,0.35,0.28,1.6,0.037,31,113,0.98779,3.12,0.4,14.2
2,5.8,0.61,0.01,8.4,0.041,31,104,0.9909,3.26,0.72,14.05
3,5.8,0.39,0.47,7.5,0.027,12,88,0.9907,3.38,0.45,14
4,4.9,0.33,0.31,1.2,0.016,39,150,0.98713,3.33,0.59,14
5,5.8,0.29,0.21,2.6,0.025,12,120,0.9894,3.39,0.79,14
6,5,0.455,0.18,1.9,0.036,33,106,0.98746,3.21,0.83,14
7,4.7,0.455,0.18,1.9,0.036,33,106,0.98746,3.21,0.83,14
8,5.8,0.24,0.28,1.4,0.038,40,76,0.98711,3.1,0.29,13.9
9,5.9,0.34,0.22,2.4,0.03,19,135,0.9894,3.41,0.78,13.9
10,5.8,0.32,0.2,2.6,0.027,17,123,0.98936,3.36,0.78,13.9
